identifier,player_name,number_of_games,total_points,teams_
708,Kevin Garnett,10,24,{1610612750}
977,Kobe Bryant,39,661,{1610612747}
1495,Tim Duncan,44,329,{1610612759}
1713,Vince Carter,378,2286,"{1610612737,1610612758,1610612763}"
1717,Dirk Nowitzki,255,3087,{1610612742}
1718,Paul Pierce,142,378,{1610612746}
1737,Nazr Mohammed,34,10,{1610612760}
1882,Elton Brand,37,70,{1610612755}
1889,Andre Miller,55,95,"{1610612750,1610612759}"
1891,Jason Terry,229,816,"{1610612745,1610612749}"
1897,Metta World Peace,90,149,{1610612747}
1938,Manu Ginobili,225,1621,{1610612759}
